COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,435,Day Scholar,dd@gmail.com,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
COE,5645,Day Scholar,"FAMILY , true representation of punjabi culture","Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",YesMAAAAAAAAAAAAAAm
fdv,455,Hostler,t,t,t,t
fdv,455,Hostler,t,t,t,t
COE,5645,Day Scholar,"FAMILY , true representation of punjabi culture","Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",YesMAAAAAAAAAAAAAAm
COE,5645,Day Scholar,"FAMILY , true representation of punjabi culture","Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",YesMAAAAAAAAAAAAAAm
t,1,tt,t,t,t,t
COE,32,Day Scholar,fdf@dsbd.huk,fnc,"Music concert , fest , dj night",Yes
COE,32,Day Scholar,fdf@dsbd.huk,fnc,"Music concert , fest , dj night",Yes
gh,45,tt,tttt,ttt,tttt,tttt
COE,32,Day Scholar,fdf@dsbd.huk,fnc,"Music concert , fest , dj night",Yes
sd,5,d,ss,ss,s,s
COE,32,Day Scholar,fdf@dsbd.huk,fnc,"Music concert , fest , dj night",Yes
COE,5645,Day Scholar,"FAMILY , true representation of punjabi culture","Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",YesMAAAAAAAAAAAAAAm
COE,3433234,Day Scholar,fdf@dsbd.huk,"Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group",Mkjk,Yes
COE,45,Day Scholar,"FAMILY , true representation of punjabi culture","Volunteered at gurpurab and chabeel , did anchoring in cultural eve and contributed in making scripts and skits , did creativity , publicity, currently working in technical group","Music concert , fest , dj night",Yes
ttttttttt,1,ttttttt,tttttttt,tttttttttt,ttttttttttt,ttttttttt
